City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Bathsheba,BB,86.61,few clouds,13.22,-59.52,Atlantis Hotel
9,Bethel,US,77.36,overcast clouds,41.37,-73.41,Courtyard by Marriott Danbury
12,Arraial Do Cabo,BR,75.06,few clouds,-22.97,-42.03,Pousada Porto Praia
13,Atuona,PF,77.97,broken clouds,-9.8,-139.03,Villa Enata
15,Aktau,KZ,86.58,clear sky,43.65,51.2,Silk Way Hotel
17,Ibra,OM,81.59,overcast clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
22,Moussoro,TD,87.04,light rain,13.64,16.49,Hôtel Salama
26,Sao Joao Da Barra,BR,80.69,few clouds,-21.64,-41.05,Pousada Porto De Canoas
27,Dombarovskiy,RU,77.13,clear sky,50.76,59.54,
29,Hithadhoo,MV,82.24,overcast clouds,-0.6,73.08,Scoop Guest House
31,Srivardhan,IN,78.24,overcast clouds,18.03,73.02,Savli Resort/Hotel - Shrivardhan
35,Mogadishu,SO,76.24,light rain,2.04,45.34,Hotel Juba
36,Utinga,BR,77.85,broken clouds,-5.82,-35.4,Espaço de Lazer Érica Fernandes
37,Albany,US,75.61,overcast clouds,42.6,-73.97,
39,La Asuncion,VE,81.9,broken clouds,11.03,-63.86,Colinas de Matasiete
40,Lorengau,PG,80.58,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
45,Mahibadhoo,MV,82.36,overcast clouds,3.78,72.97,Omadhoo Inn
46,Tarakan,ID,79.03,overcast clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
47,Faanui,PF,77.13,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
48,Kapaa,US,82.38,overcast clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
49,Puerto Ayora,EC,75.16,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
53,Georgetown,MY,84.88,few clouds,5.41,100.34,Cititel Penang
57,Kumluca,TR,85.35,clear sky,36.37,30.29,Akkol Apart
59,Sur,OM,86.58,broken clouds,22.57,59.53,Sur Plaza Hotel
60,Victoria,HK,86.38,overcast clouds,22.29,114.16,Mini Central
63,Chabahar,IR,86.38,broken clouds,25.29,60.64,هتل گدروشیا
67,Butaritari,KI,82.22,light rain,3.07,172.79,Isles Sunset Lodge
74,Bandarbeyla,SO,76.93,overcast clouds,9.49,50.81,JABIR HOTEL
80,Hilo,US,88.29,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
82,Hambantota,LK,79.21,broken clouds,6.12,81.12,Bungalow 63
84,Suamico,US,88.57,few clouds,44.63,-88.04,"Country Inn & Suites by Radisson, Green Bay North, WI"
93,Benghazi,LY,81.45,clear sky,32.12,20.07,Tibesti Hotel
96,Cururupu,BR,84.99,broken clouds,-1.83,-44.87,POUSADA TRAVÉS'CIA
97,Zhezkazgan,KZ,82.81,broken clouds,47.8,67.71,Hotel Zumrat
98,Caravelas,BR,77.2,scattered clouds,-17.71,-39.25,Pousada dos Navegantes
104,Salalah,OM,78.89,overcast clouds,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
106,Tevaitoa,PF,76.6,scattered clouds,-16.78,-151.5,Hôtel Raiatea Lodge
107,Touros,BR,81.73,scattered clouds,-5.2,-35.46,INN NEW HORIZON
108,Mitu,CO,82.22,light rain,1.2,-70.17,
109,Sao Filipe,CV,75.56,broken clouds,14.9,-24.5,Hotel Xaguate
115,Samarai,PG,79.34,overcast clouds,-10.62,150.67,Nuli Sapi
116,Bengkulu,ID,76.3,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
121,Banda Aceh,ID,79.77,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
123,Dongsheng,CN,75.07,overcast clouds,39.82,109.98,Crowne Plaza Ordos
125,Stratonion,GR,77.22,clear sky,40.51,23.82,Πανσιόν Καρβουνόσκαλα (Pension Karvounoskala)
132,Monte Alegre,BR,85.8,broken clouds,-2.01,-54.07,Hotel Shekinah
138,Hasaki,JP,77.4,heavy intensity rain,35.73,140.83,Inubosaki Kanko Hotel
141,Tura,IN,75.11,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
142,Kavaratti,IN,81.34,overcast clouds,10.57,72.64,Dharul Hudha
143,Axim,GH,76.28,overcast clouds,4.87,-2.24,Axim Beach Resort And Spa
146,Mushie,CD,77.34,light rain,-3.02,16.9,
153,Thai Binh,VN,86.65,overcast clouds,20.45,106.33,Sweden Hotel
161,Eyl,SO,77.52,overcast clouds,7.98,49.82,DAAWAD HOTEL EYL
162,Ribeira Grande,PT,77.4,broken clouds,38.52,-28.7,Quinta da Meia Eira
163,Thinadhoo,MV,82.71,overcast clouds,0.53,72.93,
170,Weligama,LK,79.56,broken clouds,5.97,80.42,Weligama Bay Resort
171,Nouakchott,MR,85.93,scattered clouds,18.09,-15.98,HOTEL IMAN
179,Makakilo City,US,80.92,light intensity drizzle,21.35,-158.09,Marriott's Ko Olina Beach Club
203,Honjo,JP,77.67,overcast clouds,36.23,139.18,Hotel Honjo
205,Ambon,ID,76.23,light rain,-3.7,128.18,Swiss-Belhotel Ambon
207,Orbetello,IT,81.75,scattered clouds,42.44,11.22,Argentario Golf & Wellness Resort
211,Grand-Santi,GF,86.18,broken clouds,4.25,-54.38,Hotel La Villa Couacou
212,Conceicao Da Barra,BR,77.63,broken clouds,-18.59,-39.73,Cricaré Praia Hotel
216,Goderich,CA,75.9,broken clouds,43.75,-81.72,Harmony Inn
217,Fare,PF,76.37,few clouds,-16.7,-151.02,Maitai Lapita Village Huahine
220,Luganville,VU,77.94,scattered clouds,-15.53,167.17,The Espiritu Hotel
221,Ankola,IN,77.76,overcast clouds,14.67,74.3,Hotel Kamat Plus
222,Torbat-E Jam,IR,87.49,clear sky,35.24,60.62,ساختمان مسکونی فلورا
223,Arlit,NE,88.63,broken clouds,18.74,7.39,Hôtel Telwa Bungalow
226,Meulaboh,ID,77.0,overcast clouds,4.14,96.13,Kost Pria
227,Lamu,KE,75.42,broken clouds,-2.27,40.9,Lamu House
228,Bhola,BD,83.17,overcast clouds,22.68,90.65,The Dhonia River Resort
229,Sibolga,ID,78.13,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
231,Ponta Delgada,PT,75.92,few clouds,37.73,-25.67,Vila Nova Hotel
232,Udaipur,IN,75.29,overcast clouds,24.57,73.69,"Taj Lake Palace, Udaipur"
233,Mossendjo,CG,76.05,overcast clouds,-2.95,12.73,HOTEL D'ASSISE
234,Harrai,IN,75.38,broken clouds,22.62,79.22,Prashant M Home
237,Half Moon Bay,US,86.54,mist,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
240,Vila Velha,BR,80.55,few clouds,-20.33,-40.29,Hotel Vitória Palace
241,Hirado,JP,80.38,overcast clouds,33.36,129.55,Samson Hotel
244,Sungairaya,ID,78.35,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
247,Salama,HN,81.3,broken clouds,14.83,-86.58,HOTEL RODRIGUEZ
248,Ratnagiri,IN,78.31,overcast clouds,16.98,73.3,Hotel Landmark
250,Le Vauclin,MQ,87.85,scattered clouds,14.55,-60.84,Hôtel Cap Macabou
259,Hamilton,US,79.95,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
260,Komsomolskiy,UZ,84.92,clear sky,40.43,71.72,Ikathouse
263,Kavieng,PG,82.36,overcast clouds,-2.57,150.8,Nusa Island Retreat
264,Bombo,ID,75.06,overcast clouds,-8.61,119.01,Losmen Mustika
265,Mangaluru,IN,76.06,broken clouds,12.87,74.88,Goldfinch Hotel Mangaluru
269,Leua,SK,81.5,scattered clouds,48.22,18.61,Business Hotel ASTRUM Laus
271,Vila Do Maio,CV,79.59,overcast clouds,15.13,-23.22,Hotel Marilu
273,Bontang,ID,79.41,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
277,Nioro,GM,87.94,light rain,13.35,-15.75,
279,Westport,US,81.32,mist,41.14,-73.36,The Westport Inn
282,Carinhanha,BR,88.25,few clouds,-14.3,-43.76,Chácara de Marcão
285,Padang,ID,77.16,broken clouds,-0.95,100.35,Mercure Padang
286,Lithakia,GR,85.37,few clouds,37.72,20.83,Zante Plaza Hotel & Apartments
