City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.42,19.23,54.81,85,99,5.88,overcast clouds
1,Bluff,NZ,-46.6,168.33,44.8,79,100,11.36,light rain
2,Skegness,GB,53.14,0.34,93.02,44,71,6.46,broken clouds
3,Bathsheba,BB,13.22,-59.52,86.61,80,20,20.71,few clouds
4,Grindavik,IS,63.84,-22.43,54.07,82,75,4.61,broken clouds
5,Bambous Virieux,MU,-20.34,57.76,69.22,73,75,23.02,light rain
6,Rikitea,PF,-23.12,-134.97,74.01,80,95,13.02,light rain
7,Beloha,MG,-25.17,45.05,66.51,75,23,14.61,few clouds
8,Barrow,US,71.29,-156.79,39.22,87,100,18.41,overcast clouds
9,Bethel,US,41.37,-73.41,77.36,91,100,9.22,overcast clouds
10,Castro,BR,-24.79,-50.01,58.01,95,100,4.12,heavy intensity rain
11,Hobart,AU,-42.88,147.33,39.25,87,40,5.75,scattered clouds
12,Arraial Do Cabo,BR,-22.97,-42.03,75.06,78,20,4.61,few clouds
13,Atuona,PF,-9.8,-139.03,77.97,64,72,18.72,broken clouds
14,Severo-Kurilsk,RU,50.68,156.12,51.58,95,49,7.94,scattered clouds
15,Aktau,KZ,43.65,51.2,86.58,48,0,9.06,clear sky
16,Jamestown,US,42.1,-79.24,72.01,85,100,14.97,overcast clouds
17,Ibra,OM,22.69,58.53,81.59,73,86,2.19,overcast clouds
18,Haines Junction,CA,60.75,-137.51,50.76,78,99,4.88,overcast clouds
19,Qaanaaq,GL,77.48,-69.36,45.41,52,21,2.66,few clouds
20,Port Hedland,AU,-20.32,118.57,57.25,82,2,3.44,clear sky
21,Clyde River,CA,70.47,-68.59,42.22,77,58,6.71,broken clouds
22,Moussoro,TD,13.64,16.49,87.04,50,37,14.58,light rain
23,Punta Arenas,CL,-53.15,-70.92,41.11,75,40,31.07,scattered clouds
24,Saint George,US,37.1,-113.58,96.64,29,0,4.0,clear sky
25,Chancay,PE,-11.57,-77.27,65.12,72,81,9.01,broken clouds
26,Sao Joao Da Barra,BR,-21.64,-41.05,80.69,70,12,13.71,few clouds
27,Dombarovskiy,RU,50.76,59.54,77.13,48,6,14.72,clear sky
28,Kaitangata,NZ,-46.28,169.85,44.64,95,100,3.53,moderate rain
29,Hithadhoo,MV,-0.6,73.08,82.24,75,100,8.41,overcast clouds
30,Saldanha,ZA,-33.01,17.94,56.95,81,12,16.62,few clouds
31,Srivardhan,IN,18.03,73.02,78.24,88,100,9.22,overcast clouds
32,Mataura,NZ,-46.19,168.86,44.47,97,100,2.28,light rain
33,Saint-Philippe,RE,-21.36,55.77,67.59,79,77,19.17,light rain
34,Preobrazheniye,RU,42.9,133.91,63.07,91,83,3.76,broken clouds
35,Mogadishu,SO,2.04,45.34,76.24,80,100,17.94,light rain
36,Utinga,BR,-5.82,-35.4,77.85,94,75,6.91,broken clouds
37,Albany,US,42.6,-73.97,75.61,92,100,7.63,overcast clouds
38,Kendari,ID,-3.94,122.5,73.99,94,97,2.53,overcast clouds
39,La Asuncion,VE,11.03,-63.86,81.9,76,75,17.11,broken clouds
40,Lorengau,PG,-2.02,147.27,80.58,74,100,4.12,overcast clouds
41,Yellowknife,CA,62.46,-114.35,69.57,56,26,8.01,scattered clouds
42,Port Hardy,CA,50.7,-127.42,57.38,81,94,3.15,overcast clouds
43,Pisco,PE,-13.7,-76.22,64.02,77,15,11.5,haze
44,Kushiro,JP,42.98,144.37,64.0,97,76,6.02,broken clouds
45,Mahibadhoo,MV,3.78,72.97,82.36,77,100,13.82,overcast clouds
46,Tarakan,ID,3.3,117.63,79.03,77,100,3.76,overcast clouds
47,Faanui,PF,-16.48,-151.75,77.13,65,35,8.81,scattered clouds
48,Kapaa,US,22.08,-159.32,82.38,85,100,17.27,overcast clouds
49,Puerto Ayora,EC,-0.74,-90.35,75.16,89,95,4.0,overcast clouds
50,Vanino,RU,49.09,140.25,55.8,100,100,2.46,overcast clouds
51,Obihiro,JP,42.92,143.2,63.28,94,76,0.85,light rain
52,Hovd,MN,48.01,91.64,57.96,70,88,3.22,overcast clouds
53,Georgetown,MY,5.41,100.34,84.88,83,20,0.0,few clouds
54,Lebu,CL,-37.62,-73.65,48.83,64,37,7.58,scattered clouds
55,Saskylakh,RU,71.92,114.08,45.0,83,98,10.2,overcast clouds
56,Thompson,CA,55.74,-97.86,66.36,72,40,3.44,scattered clouds
57,Kumluca,TR,36.37,30.29,85.35,47,0,6.38,clear sky
58,Ushuaia,AR,-54.8,-68.3,42.46,52,20,12.66,few clouds
59,Sur,OM,22.57,59.53,86.58,80,81,5.55,broken clouds
60,Victoria,HK,22.29,114.16,86.38,82,100,13.0,overcast clouds
61,Aanekoski,FI,62.69,25.82,60.67,100,93,3.36,overcast clouds
62,Nelson Bay,AU,-32.72,152.15,52.0,92,54,8.01,light rain
63,Chabahar,IR,25.29,60.64,86.38,77,72,13.15,broken clouds
64,Nikolskoye,RU,59.7,30.79,60.69,75,83,4.38,broken clouds
65,Ulundi,ZA,-28.34,31.42,60.17,55,0,2.98,clear sky
66,Glenwood Springs,US,39.55,-107.32,90.41,35,40,9.22,scattered clouds
67,Butaritari,KI,3.07,172.79,82.22,77,8,18.39,light rain
68,Tuatapere,NZ,-46.13,167.68,44.8,91,100,1.72,overcast clouds
69,Vestmannaeyjar,IS,63.44,-20.27,54.59,82,75,17.27,broken clouds
70,Port Alfred,ZA,-33.59,26.89,67.96,51,5,9.51,clear sky
71,Busselton,AU,-33.65,115.33,50.9,88,24,8.61,few clouds
72,Novo Aripuana,BR,-5.12,-60.38,97.34,29,13,5.08,few clouds
73,Bredasdorp,ZA,-34.53,20.04,54.73,82,94,3.15,overcast clouds
74,Bandarbeyla,SO,9.49,50.81,76.93,78,87,35.05,overcast clouds
75,Akdepe,TM,42.06,59.38,91.63,21,0,10.02,clear sky
76,Port Macquarie,AU,-31.43,152.92,45.9,76,31,10.76,scattered clouds
77,Cap Malheureux,MU,-19.98,57.61,69.48,68,79,8.99,broken clouds
78,Avarua,CK,-21.21,-159.78,69.85,83,40,4.61,scattered clouds
79,Coihaique,CL,-45.58,-72.07,42.75,61,75,4.61,broken clouds
80,Hilo,US,19.73,-155.09,88.29,78,100,4.61,overcast clouds
81,Roald,NO,62.58,6.13,61.16,76,75,13.8,broken clouds
82,Hambantota,LK,6.12,81.12,79.21,81,53,15.28,broken clouds
83,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,54.68,98,70,2.48,broken clouds
84,Suamico,US,44.63,-88.04,88.57,60,20,9.22,few clouds
85,Jalu,LY,29.03,21.55,92.68,16,0,6.31,clear sky
86,Nanortalik,GL,60.14,-45.24,46.8,79,74,4.43,broken clouds
87,Chuy,UY,-33.7,-53.46,55.8,60,20,7.9,few clouds
88,Placido De Castro,BR,-10.34,-67.19,92.26,39,4,3.65,clear sky
89,Channel-Port Aux Basques,CA,47.57,-59.14,64.63,88,80,11.83,broken clouds
90,Geraldton,AU,-28.77,114.6,55.81,88,100,9.22,overcast clouds
91,Caala,AO,-12.85,15.56,62.37,31,10,2.53,clear sky
92,Martapura,ID,-3.42,114.85,73.74,93,100,2.19,overcast clouds
93,Benghazi,LY,32.12,20.07,81.45,58,0,23.2,clear sky
94,Mujiayingzi,CN,42.12,118.78,66.4,61,27,4.5,scattered clouds
95,Pabianice,PL,51.66,19.35,74.89,46,0,3.44,clear sky
96,Cururupu,BR,-1.83,-44.87,84.99,61,68,8.21,broken clouds
97,Zhezkazgan,KZ,47.8,67.71,82.81,37,69,14.41,broken clouds
