City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-07-15 20:59:26,-46.6,168.3333,35.8,75,76,16.69
1,Caceres,ES,2022-07-15 20:59:26,39.522,-6.3748,91.26,18,100,8.95
2,Hilo,US,2022-07-15 20:59:27,19.7297,-155.09,92.28,86,45,5.99
3,Galle,LK,2022-07-15 20:59:27,6.0367,80.217,77.95,87,85,10.69
4,Santa Isabel Do Rio Negro,BR,2022-07-15 20:59:27,-0.4139,-65.0192,77.09,88,97,2.77
5,Gorontalo,ID,2022-07-15 20:59:28,0.5412,123.0595,74.68,95,100,4.59
6,Bosansko Grahovo,BA,2022-07-15 20:59:28,44.1794,16.3639,63.73,70,0,5.97
7,Bethel,US,2022-07-15 20:59:29,41.3712,-73.414,86.54,50,50,1.01
8,Vardo,NO,2022-07-15 20:59:29,70.3705,31.1107,57.18,82,0,2.3
9,Namibe,AO,2022-07-15 20:59:29,-15.1961,12.1522,65.68,94,30,3.58
10,Port Lincoln,AU,2022-07-15 20:59:30,-34.7333,135.8667,54.14,45,99,22.75
11,Upernavik,GL,2022-07-15 20:55:59,72.7868,-56.1549,49.44,59,0,6.06
12,Tuatapere,NZ,2022-07-15 20:59:30,-46.1333,167.6833,34.93,90,44,5.77
13,Chokurdakh,RU,2022-07-15 20:59:31,70.6333,147.9167,51.24,74,49,18.28
14,Hasaki,JP,2022-07-15 20:59:31,35.7333,140.8333,73.8,96,98,7.09
15,Punta Arenas,CL,2022-07-15 20:52:17,-53.15,-70.9167,32.02,93,40,8.05
16,Rikitea,PF,2022-07-15 20:56:01,-23.1203,-134.9692,68.04,79,100,10.71
17,Tsabong,BW,2022-07-15 20:59:31,-26.0217,22.401,60.53,25,0,5.41
18,Atuona,PF,2022-07-15 20:59:32,-9.8,-139.0333,76.69,75,1,13.09
19,New Norfolk,AU,2022-07-15 20:59:32,-42.7826,147.0587,45.91,82,100,1.01
20,Pingdingshan,CN,2022-07-15 20:59:33,33.7385,113.3012,82.92,82,97,1.1
21,Hobart,AU,2022-07-15 20:57:27,-42.8794,147.3294,46.26,85,75,9.22
22,Puerto Ayora,EC,2022-07-15 20:56:11,-0.7393,-90.3518,75.16,93,67,8.99
23,Kaduqli,SD,2022-07-15 20:59:33,11.0167,29.7167,72.43,85,20,1.39
24,Monteagudo,BO,2022-07-15 20:59:34,-19.8167,-63.9833,80.38,32,100,2.8
25,Ribeira Grande,PT,2022-07-15 20:59:34,38.5167,-28.7,73.8,78,20,12.66
26,Mount Gambier,AU,2022-07-15 20:54:53,-37.8333,140.7667,44.83,91,100,11.43
27,Ayan,RU,2022-07-15 20:59:34,56.45,138.1667,57.74,90,100,4.76
28,Huilong,CN,2022-07-15 20:59:35,31.8111,121.655,80.92,91,97,3.62
29,Khatanga,RU,2022-07-15 20:59:35,71.9667,102.5,53.69,64,18,5.28
30,Victoria,HK,2022-07-15 20:55:32,22.2855,114.1577,86.38,83,100,11.01
31,Udachnyy,RU,2022-07-15 20:59:36,66.4167,112.4,48.45,100,100,17.96
32,Jalingo,NG,2022-07-15 20:59:36,8.8833,11.3667,73.11,96,99,3.74
33,Dikson,RU,2022-07-15 20:56:02,73.5069,80.5464,47.44,71,100,5.1
34,Mataura,NZ,2022-07-15 20:56:03,-46.1927,168.8643,35.47,96,91,3.74
35,Loikaw,MM,2022-07-15 20:59:37,19.6742,97.2094,68.58,97,97,1.19
36,Kaitangata,NZ,2022-07-15 20:59:38,-46.2817,169.8464,38.66,91,46,10.69
37,Kodiak,US,2022-07-15 20:55:57,57.79,-152.4072,58.84,83,100,5.68
38,Ushuaia,AR,2022-07-15 20:55:57,-54.8,-68.3,35.26,60,20,10.36
39,Tasiilaq,GL,2022-07-15 20:56:03,65.6145,-37.6368,41.63,75,100,14.88
40,Ninghai,CN,2022-07-15 20:59:38,29.2892,121.4247,81.55,78,100,3.51
41,Luderitz,NA,2022-07-15 20:56:00,-26.6481,15.1594,70.9,29,0,4.72
42,Tevaitoa,PF,2022-07-15 20:59:39,-16.7833,-151.5,77.68,58,79,20.8
43,Vila Franca Do Campo,PT,2022-07-15 20:59:39,37.7167,-25.4333,72.19,90,47,12.75
44,Arraial Do Cabo,BR,2022-07-15 20:59:40,-22.9661,-42.0278,75.06,73,0,17.27
45,Porto Murtinho,BR,2022-07-15 20:59:40,-21.6989,-57.8825,93.79,28,99,11.7
46,Dutlwe,BW,2022-07-15 20:59:41,-23.9833,23.9,55.11,31,0,9.89
47,Hermanus,ZA,2022-07-15 20:56:03,-34.4187,19.2345,54.81,84,100,8.75
48,Merauke,ID,2022-07-15 21:00:41,-8.4667,140.3333,74.08,79,100,14.56
49,Strezhevoy,RU,2022-07-15 21:00:42,60.7333,77.5889,58.23,71,97,4.16
50,Thompson,CA,2022-07-15 21:00:42,55.7435,-97.8558,85.93,23,100,10.94
51,Geraldton,AU,2022-07-15 21:00:43,-28.7667,114.6,52.21,87,75,8.05
52,Bredasdorp,ZA,2022-07-15 21:00:43,-34.5322,20.0403,51.53,94,100,3.47
53,Peniche,PT,2022-07-15 21:00:44,39.3558,-9.3811,70.09,87,43,7.43
54,Halle,DE,2022-07-15 21:00:44,51.5,12.0,61.43,62,0,5.75
55,Baghdad,IQ,2022-07-15 21:00:03,33.3406,44.4009,96.35,15,0,11.03
56,Vaini,TO,2022-07-15 20:56:07,-21.2,-175.2,77.16,88,20,6.91
57,Saskylakh,RU,2022-07-15 21:00:45,71.9167,114.0833,50.59,60,32,1.7
58,Bilma,NE,2022-07-15 20:55:56,18.6853,12.9164,81.75,63,92,22.08
59,Gizo,SB,2022-07-15 21:00:46,-8.103,156.8419,81.55,78,45,15.82
60,Sao Filipe,CV,2022-07-15 21:00:46,14.8961,-24.4956,74.93,79,100,5.86
61,Saldanha,ZA,2022-07-15 20:56:07,-33.0117,17.9442,57.25,77,100,8.48
62,Skelleftea,SE,2022-07-15 21:00:47,64.7507,20.9528,57.56,100,75,4.61
63,Swellendam,ZA,2022-07-15 21:00:47,-34.0226,20.4417,54.03,79,100,1.7
64,Georgetown,MY,2022-07-15 20:51:36,5.4112,100.3354,82.89,90,20,2.3
65,Yellowknife,CA,2022-07-15 20:56:02,62.456,-114.3525,61.32,67,100,4.61
66,Roald,NO,2022-07-15 21:00:48,62.5833,6.1333,52.32,87,75,10.36
67,Fortuna,US,2022-07-15 21:00:49,40.5982,-124.1573,71.92,67,0,7.0
68,Nikolskoye,RU,2022-07-15 21:00:49,59.7035,30.7861,57.09,95,61,5.26
69,Rio Gallegos,AR,2022-07-15 21:00:50,-51.6226,-69.2181,31.55,78,6,18.32
70,Lagoa,PT,2022-07-15 21:00:50,39.05,-27.9833,69.35,90,25,14.76
71,Busselton,AU,2022-07-15 20:56:00,-33.65,115.3333,58.59,64,100,3.04
72,Umm Lajj,SA,2022-07-15 21:00:51,25.0213,37.2685,84.42,67,0,7.52
73,Talnakh,RU,2022-07-15 21:00:52,69.4865,88.3972,53.92,70,8,1.57
74,Cangzhou,CN,2022-07-15 21:00:52,38.3167,116.8667,81.61,69,74,4.9
75,Cape Town,ZA,2022-07-15 20:55:57,-33.9258,18.4232,61.38,84,100,4.0
76,Sitka,US,2022-07-15 21:00:53,57.0531,-135.33,57.51,94,99,5.53
77,Sao Joaquim,BR,2022-07-15 21:00:53,-28.2939,-49.9317,58.68,76,100,6.85
78,Cabo Frio,BR,2022-07-15 21:00:54,-22.8794,-42.0186,72.3,79,55,25.95
79,Barrow,US,2022-07-15 21:00:54,71.2906,-156.7887,39.22,81,100,11.5
80,Kapaa,US,2022-07-15 21:00:55,22.0752,-159.319,80.47,74,71,5.99
81,Nantucket,US,2022-07-15 21:00:55,41.2835,-70.0995,78.01,81,100,6.8
82,Saraland,US,2022-07-15 20:57:47,30.8207,-88.0706,91.13,68,85,4.21
83,Kungurtug,RU,2022-07-15 21:00:56,50.5994,97.5228,39.07,94,10,1.79
84,Loiza,PR,2022-07-15 21:00:57,18.4313,-65.8802,87.64,84,11,15.9
